MAP KEY,TAX PARCEL,JAXGIS,ACRES,CURRENT USE,POTENTIAL  FOR  REDEVELOPMENT,ADDRESS,ASSESSED VALUE,JUST MARKET VALUE*,DISTRICT,ZONING,MAX HEIGHT,WATERFRONT,RESERVATION OF WATERFRONT EASEMENT,EXISTING SUBMERGED LAND LEASE,"HISTORIC 
LANDMARK",APPLICABLE PLANS,PARCEL DETAILS
1,075161 0000,075161 0000,1.53,Ritz Theatre,NO,"829 DAVIS ST N, 32202",4965351,4965351,LaVilla,CCBD,75',NO,NO,NO,YES,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
2,075211 0000,075211 0000,0.99,Retention Pond,YES,"0 LEE ST, 32202; Lee/Beaver/I-95",131,131,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by Right of Way and Stormwater Maintenance (RWSM)
3,075197 0000,075197 0000,0.16,Vacant Land,YES,"0 LEE ST, 32202; 700 block of Lee",69696,69696,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
4,075195 0000,075195 0000,0.42,Vacant Land,YES,"0 DAVIS ST N, 32202; 700 block of Davis",145672,145672,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
5,075204 0000,075204 0000,0.32,Vacant Land,YES,"0 DAVIS ST N, 32202; 700 block of Davis",110920,110920,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
6,075077 0010,075077 0010,0.09,Retention Pond,YES,"0 ASHLEY ST W, 32204; Ashley/Church/Johnson",15,15,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by RWSM
6,075079 0000,075079 0000,0.24,Retention Pond,YES,"0 CHURCH ST W, 32204; Ashley/Church/Johnson",34,34,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by RWSM
6,075282 0000,075282 0000,0.1,Retention Pond,YES,"0 CHURCH ST W, 32204; Ashley/Church/Johnson",17,17,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by RWSM
6,075077 0000,075077 0000,0.06,Retention Pond,YES,"0 ASHLEY ST W, 32204;Ashley/Church/Johnson",7,7,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by RWSM
6,075280 0000,075280 0000,0.1,Retention Pond,YES,"0 CHURCH ST W, 32204; Ashley/Church/Johnson",17,17,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by RWSM
6,075074 0000,075074 0000,0.07,Retention Pond,YES,"0 ASHLEY ST W, 32204; Ashley/Church/Johnson",12,12,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,Currently managed by RWSM
7,075015 0000,075015 0000,0.11,Vacant Land,NO,"0 DUVAL ST W, 32204; Duval/Stuart/Johnson",37136,37136,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,"Parcel to become park as part of Emerald Trail system, will include other recreational amenities. 

Currently used for police k-9 unit training site and allocated JSO. "
7,075017 0000,075017 0000,0.11,Vacant Land,NO,"0 JOHNSON ST, 32204; Johnson/Duval/Church",39272,39272,LaVilla,CCBD,75',NO,NO,NO,N/A,Northbank CRA Plan & BID Strategy; LaVilla Neighborhood Development Strategy,
